name,c1_raw,c2_raw,c3_raw
Amira Bungalow Iboih,0.03,0.0,0.0
Homestay Syariah Casa Sakinah,0.0,0.0,0.0
Hijrah Hotel,0.27,0.0,0.0
My Home Aceh,0.30000000000000004,43.73,8.219607843137254
Private Room in Banda Aceh,0.3,39.77,9.127272727272727
Quanza Hotel,0.05,0.0,0.0
RedDoorz Syariah Near Taman Kopi Gayo,0.05,0.0,0.0
Mabit Hotel Syariah,0.2,37.78,9.200000000000001
Hotel Wisata Banda Aceh,0.22,37.73,8.75294117647059
Hotel Wisata Banda Aceh,0.25,0.0,7.0
Acc Family Homestay Takengon,0.05,0.0,0.0
Villa Kelamun Ine R-F,0.0,0.0,0.0
Apollo Bungalows,0.28,46.84,9.290566037735848
Penginapan Syariah Maqila,0.0,0.0,0.0
HILANI BOUTIQUE HOTEL,0.35,48.26,9.205333333333334
Sribudaya Resort Aceh,0.25,33.67,8.45
al sattar  homestay syariah,0.05,0.0,10.0
Ratu Balqis Homestay ,0.25,37.69,9.0
SULTAN HOTEL BANDA ACEH,0.35,22.33,7.57037037037037
De Papel Homestay,0.25,0.0,8.666666666666666
RedDoorz Syariah @ Florensa Banda Aceh 2,0.25,0.0,0.0
Hotel O Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.2,37.63,7.63265306122449
Medina House Syariah Aceh,0.27,29.09,5.6000000000000005
Cahaya kos putri,0.27,39.42,9.866666666666667
Belazee homestay,0.0,0.0,10.0
ZHOUSE HOTEL,0.25,55.12,8.639999999999999
Hotel Meurah Mulia,0.3,0.0,6.20625
Hotel O Banda Aceh near Masjid Raya Baiturrahman formerly Wisma Tsacita,0.2,38.65,7.203883495145631
Dancenter Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.2,38.61,8.173333333333334
Collection O Banda Aceh near Masjid Raya Baiturrahman formerly Hotel Mulana,0.2,41.83,8.328630705394191
Pavilliun Seulawah,0.1,0.0,0.0
SeGuestHouse,0.25,0.0,4.0
Grand Mahoni Hotel,0.15000000000000002,46.09,9.210526315789474
Sei Hotel ,0.2,0.0,0.0
pulau weh sabang Coco jungle,0.28,51.3,9.533333333333333
Mars Resort ,0.3,27.94,5.12
Luxe5 Inn Hj Hasnah Hasan,0.42,40.35,9.173333333333334
Luxe5 Inn Hj Hasnah Hasan,0.25,0.0,0.0
Hermes Palace Hotel Banda Aceh ,0.28,44.37,7.844058500914077
Dang-Dang Na Bungalows,0.23,0.0,6.6000000000000005
Hotel Qory Syariah,0.42,0.0,0.0
Losmen PUM Syariah at Desa Wisata Sabang,0.1,0.0,0.0
sekost&guesthouse,0.15000000000000002,0.0,0.0
Furqan guest house fan room,0.18000000000000002,0.0,10.0
Hotel O Banda Aceh near UIN formerly Alif Guest House Syariah,0.2,34.77,7.035294117647059
grand koetaradja permai hotel,0.2,0.0,9.28
Abaka Hotel Banda Aceh,0.15000000000000002,0.0,0.0
Pondok Simpang Tiga,0.27,40.57,9.185185185185185
Collection O near Museum Tsunami Banda Aceh formerly Blower Residence,0.2,32.67,7.6
RedDoorz Syariah @ Hotel Seunia Banda Aceh,0.25,38.38,5.938461538461539
AAL Homestay Syariah,0.18000000000000002,42.07,9.76
Capital O 854 Ub Caisar Hotel,0.25,25.97,6.0
Z.I. Homestay Banda Aceh,0.15000000000000002,0.0,0.0
Z.I. Homestay Banda Aceh,0.15000000000000002,0.0,0.0
The Hawk's Nest Resort,0.18000000000000002,40.53,9.353333333333333
Kuara Guest House Takengon,0.07,0.0,0.0
Hotel Alfatih Banda Aceh,0.25,0.0,0.0
Banda Capsule,0.39999999999999997,41.08,9.200000000000001
Awak Awai,0.23,0.0,10.0
Mitra Perdana Homestay ,0.17,0.0,0.0
OYO 94799 Siwah Hotel,0.25,41.6,8.78857142857143
OYO 94787 Hotel Mulana,0.12000000000000001,32.5,8.703448275862069
Dentalinn,0.27,0.0,4.933333333333334
Penginapan JANNAH Syariah,0.0,0.0,0.0
Penginapan JANNAH Syariah,0.0,0.0,9.2
Gayo Belangi Resort,0.2,0.0,0.0
AMODA Hotel & Cafe By Sativa,0.22,0.0,0.0
Freddies Villas Sabang,0.28,26.2,8.15
Hotel Mekkah Banda Aceh,0.25,43.81,7.425196850393701
Dancenter Wisma Tsacita,0.2,0.0,9.200000000000001
Dancenter Alif Guest House,0.2,41.35,7.066666666666666
Utama Hotel,0.25,0.0,8.799999999999999
Dancenter Meurah Mulia,0.22,58.44,9.090909090909092
Medina House Aceh,0.15000000000000002,0.0,9.6
Hotel Grand Permata Hati,0.15,0.0,0.0
Utama Lueng Bata Hotel,0.17,23.55,4.4
Utama Kuta Alam Guest House,0.17,27.61,7.966666666666666
Pineung Residence Syariah,0.05,0.0,0.0
Kanaya Homestay Syari’ah Banda Aceh,0.0,0.0,0.0
Freddies Villas Sabang,0.0,0.0,0.0
Mata Ie Resort Sabang,0.23,37.69,9.866666666666667
Hotel O near Terminal Batoh formerly Hotel Al Fatih,0.2,28.96,7.88
Gayo Petro Hotel Takengon,0.32,33.16,7.5
Dancenter Hotel Al Fatih,0.2,30.05,6.542857142857143
HOUSING 58,0.17,0.0,0.0
TEUPIN LAYEU HOTEL,0.23,40.34,9.866666666666667
Hotel O near Masjid Raya Baiturrahman,0.25,0.0,7.905882352941177
