name,c1_norm,c2_norm,c3_norm
Collection O Peunayong Near Masjid Raya Baiturrahman Formerly Siwah Hotel,0.5476190476190477,0.6433307632999229,0.8125454545454545
Griya Arida Aceh,0.6666666666666667,0.0,0.8366666666666667
EVA SKY HOTEL,0.2380952380952381,0.0,0.0
sunrise seasports,0.9047619047619048,0.91781033153431,0.9333333333333333
Hotel Rasamala,0.5952380952380952,0.702390131071704,0.9128571428571428
Hadrah Hotel,0.6428571428571429,0.5905936777178104,0.7177358490566037
Fhandika Boutique Inc.,0.8809523809523809,0.6174248265227449,0.8657894736842104
My Home Aceh ,0.5952380952380952,0.0,0.0
Hotel 889 Syariah Redpartner Banda Aceh,0.5952380952380952,0.4747879722436392,0.466
Hotel Grand Nanggroe,0.8333333333333333,0.0,0.27999999999999997
Permatahati Hotel and Convention Center,0.6666666666666667,0.0,0.6896296296296296
Garuda Hotel ,0.5238095238095238,0.6296067848882035,0.8295575221238938
Hotel 61 Banda Aceh,0.8333333333333333,0.6713955281418659,0.9466063348416289
RedDoorz Syariah near Balai Meuseuraya Aceh,0.5952380952380952,0.4875867386276022,0.5599999999999999
Wisma Syariah Lambhuk Banda Aceh RedPartner,0.5952380952380952,0.0,0.41500000000000004
Luxury villa with sea garden & sea view,0.7142857142857143,0.0,0.0
SEUNIA HOTEL,0.5952380952380952,0.0,0.4333333333333333
Diara Bungalow,0.2380952380952381,0.6427139552814187,0.7659574468085106
Kumala Hotel Banda Aceh,0.0,0.0,0.0
Kenangan Guest House,0.5952380952380952,0.4855821125674634,0.8699999999999999
Amira Bungalow Iboih,0.07142857142857142,0.0,0.0
Homestay Syariah Casa Sakinah,0.0,0.0,0.0
Hijrah Hotel,0.6428571428571429,0.0,0.0
My Home Aceh,0.7142857142857144,0.674325366229761,0.8219607843137254
Private Room in Banda Aceh,0.7142857142857143,0.6132613723978413,0.9127272727272727
Quanza Hotel,0.11904761904761905,0.0,0.0
RedDoorz Syariah Near Taman Kopi Gayo,0.11904761904761905,0.0,0.0
Mabit Hotel Syariah,0.4761904761904762,0.5825751734772553,0.9200000000000002
Hotel Wisata Banda Aceh,0.5238095238095238,0.5818041634541249,0.8752941176470589
Hotel Wisata Banda Aceh,0.5952380952380952,0.0,0.7
Acc Family Homestay Takengon,0.11904761904761905,0.0,0.0
Villa Kelamun Ine R-F,0.0,0.0,0.0
Apollo Bungalows,0.6666666666666667,0.7222821896684658,0.9290566037735848
Penginapan Syariah Maqila,0.0,0.0,0.0
HILANI BOUTIQUE HOTEL,0.8333333333333333,0.7441788743253662,0.9205333333333334
Sribudaya Resort Aceh,0.5952380952380952,0.5191981495759446,0.845
al sattar  homestay syariah,0.11904761904761905,0.0,1.0
Ratu Balqis Homestay ,0.5952380952380952,0.5811873554356207,0.9
SULTAN HOTEL BANDA ACEH,0.8333333333333333,0.34433307632999227,0.7570370370370371
De Papel Homestay,0.5952380952380952,0.0,0.8666666666666666
RedDoorz Syariah @ Florensa Banda Aceh 2,0.5952380952380952,0.0,0.0
Hotel O Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.4761904761904762,0.5802621434078644,0.763265306122449
Medina House Syariah Aceh,0.6428571428571429,0.44857363145720897,0.56
Cahaya kos putri,0.6428571428571429,0.6078643022359291,0.9866666666666667
Belazee homestay,0.0,0.0,1.0
ZHOUSE HOTEL,0.5952380952380952,0.8499614494988436,0.8639999999999999
Hotel Meurah Mulia,0.7142857142857143,0.0,0.620625
Hotel O Banda Aceh near Masjid Raya Baiturrahman formerly Wisma Tsacita,0.4761904761904762,0.5959907478797225,0.7203883495145631
Dancenter Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.4761904761904762,0.5953739398612182,0.8173333333333334
Collection O Banda Aceh near Masjid Raya Baiturrahman formerly Hotel Mulana,0.4761904761904762,0.6450269853508096,0.8328630705394191
Pavilliun Seulawah,0.2380952380952381,0.0,0.0
SeGuestHouse,0.5952380952380952,0.0,0.4
Grand Mahoni Hotel,0.3571428571428572,0.7107170393215113,0.9210526315789475
Sei Hotel ,0.4761904761904762,0.0,0.0
pulau weh sabang Coco jungle,0.6666666666666667,0.7910562837316886,0.9533333333333334
Mars Resort ,0.7142857142857143,0.4308404009252121,0.512
Luxe5 Inn Hj Hasnah Hasan,1.0,0.6222050886661528,0.9173333333333333
Luxe5 Inn Hj Hasnah Hasan,0.5952380952380952,0.0,0.0
Hermes Palace Hotel Banda Aceh ,0.6666666666666667,0.6841942945258288,0.7844058500914077
Dang-Dang Na Bungalows,0.5476190476190477,0.0,0.66
Hotel Qory Syariah,1.0,0.0,0.0
Losmen PUM Syariah at Desa Wisata Sabang,0.2380952380952381,0.0,0.0
sekost&guesthouse,0.3571428571428572,0.0,0.0
Furqan guest house fan room,0.42857142857142866,0.0,1.0
Hotel O Banda Aceh near UIN formerly Alif Guest House Syariah,0.4761904761904762,0.5361603700848112,0.7035294117647058
grand koetaradja permai hotel,0.4761904761904762,0.0,0.9279999999999999
Abaka Hotel Banda Aceh,0.3571428571428572,0.0,0.0
Pondok Simpang Tiga,0.6428571428571429,0.6255975327679261,0.9185185185185185
Collection O near Museum Tsunami Banda Aceh formerly Blower Residence,0.4761904761904762,0.5037779491133385,0.76
RedDoorz Syariah @ Hotel Seunia Banda Aceh,0.5952380952380952,0.5918272937548189,0.5938461538461539
AAL Homestay Syariah,0.42857142857142866,0.648727833461835,0.976
Capital O 854 Ub Caisar Hotel,0.5952380952380952,0.4004626060138782,0.6
Z.I. Homestay Banda Aceh,0.3571428571428572,0.0,0.0
Z.I. Homestay Banda Aceh,0.3571428571428572,0.0,0.0
The Hawk's Nest Resort,0.42857142857142866,0.6249807247494218,0.9353333333333333
Kuara Guest House Takengon,0.16666666666666669,0.0,0.0
Hotel Alfatih Banda Aceh,0.5952380952380952,0.0,0.0
Banda Capsule,0.9523809523809523,0.6334618350038551,0.9200000000000002
Awak Awai,0.5476190476190477,0.0,1.0
Mitra Perdana Homestay ,0.4047619047619048,0.0,0.0
OYO 94799 Siwah Hotel,0.5952380952380952,0.6414803392444103,0.878857142857143
OYO 94787 Hotel Mulana,0.28571428571428575,0.5011565150346955,0.8703448275862069
Dentalinn,0.6428571428571429,0.0,0.49333333333333335
Penginapan JANNAH Syariah,0.0,0.0,0.0
Penginapan JANNAH Syariah,0.0,0.0,0.9199999999999999
Gayo Belangi Resort,0.4761904761904762,0.0,0.0
AMODA Hotel & Cafe By Sativa,0.5238095238095238,0.0,0.0
Freddies Villas Sabang,0.6666666666666667,0.4040092521202776,0.8150000000000001
Hotel Mekkah Banda Aceh,0.5952380952380952,0.6755589822667696,0.74251968503937
Dancenter Wisma Tsacita,0.4761904761904762,0.0,0.9200000000000002
Dancenter Alif Guest House,0.4761904761904762,0.6376252891287587,0.7066666666666667
Utama Hotel,0.5952380952380952,0.0,0.8799999999999999
Dancenter Meurah Mulia,0.5238095238095238,0.9011565150346955,0.9090909090909092
Medina House Aceh,0.3571428571428572,0.0,0.96
Hotel Grand Permata Hati,0.35714285714285715,0.0,0.0
Utama Lueng Bata Hotel,0.4047619047619048,0.3631457208943717,0.44000000000000006
Utama Kuta Alam Guest House,0.4047619047619048,0.42575173477255207,0.7966666666666666
Pineung Residence Syariah,0.11904761904761905,0.0,0.0
Kanaya Homestay Syari’ah Banda Aceh,0.0,0.0,0.0
Freddies Villas Sabang,0.0,0.0,0.0
Mata Ie Resort Sabang,0.5476190476190477,0.5811873554356207,0.9866666666666667
Hotel O near Terminal Batoh formerly Hotel Al Fatih,0.4761904761904762,0.44656900539707023,0.788
Gayo Petro Hotel Takengon,0.761904761904762,0.5113338473400154,0.75
Dancenter Hotel Al Fatih,0.4761904761904762,0.46337702390131075,0.6542857142857142
HOUSING 58,0.4047619047619048,0.0,0.0
TEUPIN LAYEU HOTEL,0.5476190476190477,0.6220508866615267,0.9866666666666667
Hotel O near Masjid Raya Baiturrahman,0.5952380952380952,0.0,0.7905882352941177
Townhouse Oak near Tugu Simpang Lima formerly GM Inn Hotel,0.5476190476190477,0.7549730146491905,0.9090909090909092
Senangin Residence,0.5952380952380952,0.0,0.0
Al Hanifi Hotel,0.0,0.0,0.0
Ilona Boutique Hotel,0.0,0.0,0.0
Hijrah Inn Banda Aceh,0.2380952380952381,0.0,0.0
Hotel Grand Langkawi By ZIRI,0.5476190476190477,0.5207401696222052,0.8560000000000001
Dancenter Hotel Gm Inn,0.5238095238095238,0.0,0.8
Penginapan paradis,0.4047619047619048,0.0,1.0
DETARA HOMESTAY SYARIAH,0.6428571428571429,0.0,0.0
Celestial Guest House Banda Aceh,0.3571428571428572,0.0,0.0
Housing 58 homestay,0.6428571428571429,0.0,0.0
Townhouse Oak near RSUD Dr. Zainoel Abidin formerly Poma Hotel,0.5952380952380952,0.0,0.0
RedDoorz Syariah @ Panglima Nyak Makam Aceh,0.5952380952380952,0.6181958365458752,0.8183240223463686
Fairuz Hotel Managed by Calandra,0.0,0.0,0.0
RedDoorz Syariah near Simpang Surabaya Aceh,0.8333333333333333,0.47386276021588286,0.4583050847457627
Casapedian 001  (Guesthouse B. Aceh 2BR),0.4047619047619048,0.0,0.0
Rumah ALMIRA Homestay,0.4047619047619048,0.0,0.0
Hotel O near Rahmat International Wildlife Museum & Gallery formerly Tsacita 2,0.5952380952380952,0.0,0.0
WISMA JEUMPA TAKENGON,1.0,0.0,0.0
Capital O 854 Ub Caisar Hotel,0.8333333333333333,0.5500385505011566,0.5588
RedDoorz Syariah @ Sumur Tiga Beach Sabang Aceh,0.5952380952380952,0.63053199691596,0.7269811320754717
Hotel Grand Permata Hati,0.5952380952380952,0.0,0.7867924528301887
Intense Maia Hotel,0.4761904761904762,0.0,0.0
