rank,name,saw_score,c1_weighted,c2_weighted,c3_weighted
1,sunrise seasports,0.9158192899364834,0.40714285714285714,0.275343099460293,0.23333333333333334
2,Luxe5 Inn Hj Hasnah Hasan,0.8659948599331793,0.45,0.18666152659984583,0.22933333333333333
3,Depik Inn,0.8594315177883026,0.40714285714285714,0.222467232074017,0.22982142857142854
4,Banda Capsule,0.8486099790725852,0.42857142857142855,0.19003855050115653,0.23000000000000004
5,GM INN HOTEL,0.8320271392403481,0.42857142857142855,0.193739398612182,0.20971631205673757
6,HILANI BOUTIQUE HOTEL,0.8283869956309433,0.375,0.22325366229760987,0.23013333333333336
7,Hotel 61 Banda Aceh,0.813070242152967,0.375,0.20141865844255977,0.23665158371040723
8,I am Backpacker Hostel,0.8068366393308567,0.45,0.15062451811873556,0.2062121212121212
9,Portola Grand Arabia Hotel,0.798669983616037,0.375,0.207201233616037,0.21646875
10,Fhandika Boutique Inc.,0.7981033878064475,0.3964285714285714,0.18522744795682347,0.2164473684210526
11,Alhambra Hotel Banda Aceh,0.7959827449908748,0.375,0.20053970701619125,0.22044303797468356
12,pulau weh sabang Coco jungle,0.77565021845284,0.30000000000000004,0.23731688511950655,0.23833333333333334
13,RedDoorz Syariah near Ujong Kareung Beach Sabang,0.7713843374821016,0.40714285714285714,0.16464148033924444,0.1996
14,Casanemo Beach Resort & Spa,0.7532262687650233,0.3535714285714286,0.18393215111796454,0.21572268907563025
15,Apollo Bungalows,0.7489488078439359,0.30000000000000004,0.21668465690053973,0.2322641509433962
16,ZHOUSE HOTEL,0.7388455777067959,0.26785714285714285,0.25498843484965306,0.21599999999999997
17,Private Room in Banda Aceh,0.733588801329742,0.32142857142857145,0.1839784117193524,0.22818181818181818
18,Dancenter Meurah Mulia,0.7333339674974216,0.23571428571428574,0.27034695451040863,0.2272727272727273
19,The Pade Hotel,0.7327474387280671,0.30000000000000004,0.2165921356977641,0.21615530303030303
20,Hotel Medan Banda Aceh,0.7301471427570116,0.2892857142857143,0.19813415574402468,0.24272727272727274
21,My Home Aceh,0.7292163773759311,0.3214285714285715,0.2022976098689283,0.20549019607843136
22,Cahaya kos putri,0.7183116716231598,0.2892857142857143,0.18235929067077875,0.24666666666666667
23,Hotel Rasamala,0.7067884678929397,0.26785714285714285,0.2107170393215112,0.2282142857142857
24,Pondok Simpang Tiga,0.7065946037457218,0.2892857142857143,0.1876792598303778,0.22962962962962963
25,Hermes Palace Hotel Banda Aceh ,0.7013597508806007,0.30000000000000004,0.20525828835774865,0.19610146252285193
26,Townhouse Oak near Tugu Simpang Lima formerly GM Inn Hotel,0.7001932030960559,0.24642857142857147,0.22649190439475714,0.2272727272727273
27,Collection O Darussalam Near Universitas Syiah Kuala Formerly Meurah Mulia,0.6918911005975968,0.2892857142857143,0.19272166538164998,0.20988372093023258
28,Gayo Petro Hotel Takengon,0.6837572970591476,0.3428571428571429,0.15340015420200462,0.1875
29,Grand Emperom Hotel Mitra RedDoorz,0.6827408905666423,0.2892857142857143,0.1748188126445644,0.21863636363636366
30,OYO 94799 Siwah Hotel,0.6800155303447517,0.26785714285714285,0.19244410177332308,0.21971428571428575
31,Capital O 854 Ub Caisar Hotel,0.6797115651503469,0.375,0.16501156515034696,0.1397
32,TEUPIN LAYEU HOTEL,0.6797105040936962,0.24642857142857147,0.186615265998458,0.24666666666666667
33,Portola Grand Renggali Hotel Takengon,0.6698532645604939,0.26785714285714285,0.19443330763299926,0.20756281407035176
34,SULTAN HOTEL BANDA ACEH,0.6675591821582569,0.375,0.10329992289899768,0.18925925925925927
35,Mata Ie Resort Sabang,0.6674514447259243,0.24642857142857147,0.1743562066306862,0.24666666666666667
36,Ratu Balqis Homestay ,0.6672133494878291,0.26785714285714285,0.1743562066306862,0.225
37,Hotel AMEL,0.6654571683745565,0.26785714285714285,0.1735697764070933,0.22403024911032027
38,Rihlah Resort Iboih Sabang,0.6625087995709162,0.30000000000000004,0.13207401696222051,0.23043478260869565
39,Grand Bayu Hill Hotel,0.6594279249294837,0.26785714285714285,0.18009252120277564,0.2114782608695652
40,RedDoorz Syariah @ Panglima Nyak Makam Aceh,0.6578968994074976,0.26785714285714285,0.18545875096376255,0.20458100558659215
41,Amel Hotel Convention Hall,0.6569924812030075,0.42857142857142855,0.0,0.22842105263157894
42,Hotel Mekkah Banda Aceh,0.6561547587970162,0.26785714285714285,0.20266769468003087,0.1856299212598425
43,Grand Nanggroe Hotel,0.6533603113829116,0.30000000000000004,0.18730917501927527,0.16605113636363636
44,Hip Hope Hotel,0.649122983540871,0.23571428571428574,0.18286815728604475,0.23054054054054052
45,Hadrah Hotel,0.6458977798652084,0.2892857142857143,0.1771781033153431,0.17943396226415093
46,Collection O Peunayong Near Masjid Raya Baiturrahman Formerly Siwah Hotel,0.642564164054912,0.24642857142857147,0.19299922898997687,0.20313636363636361
47,MyHome Hotel Aceh,0.6399636319875334,0.2892857142857143,0.14141865844255977,0.20925925925925926
48,RedDoorz Syariah @ Sumur Tiga Beach Sabang Aceh,0.6387620249507988,0.26785714285714285,0.189159599074788,0.18174528301886791
49,Hotel Bayu Hill,0.6377499123852247,0.30000000000000004,0.1473862760215883,0.19036363636363637
50,Portola Arabia Hotel,0.6355411255411255,0.42857142857142855,0.0,0.20696969696969697
51,Sribudaya Resort Aceh,0.6348665877299262,0.26785714285714285,0.15575944487278337,0.21125
52,Super OYO Capital O 1630 Hotel Syariah Ring Road,0.6325593259929128,0.23571428571428574,0.19503469545104085,0.20181034482758622
53,Garuda Hotel ,0.6319857017117203,0.23571428571428574,0.18888203546646107,0.20738938053097344
54,RedDoorz Syariah near Simpang Surabaya Aceh,0.6317350992512055,0.375,0.14215882806476485,0.11457627118644068
55,AAL Homestay Syariah,0.6314754928956934,0.1928571428571429,0.19461835003855052,0.244
56,Kenangan Guest House,0.6310317766273819,0.26785714285714285,0.145674633770239,0.21749999999999997
57,Hotel Wisata Banda Aceh,0.629079064162288,0.23571428571428574,0.17454124903623747,0.21882352941176472
58,Capital O 2018 Ring Road Guest House Syariah,0.6250155851057541,0.23571428571428574,0.1997532767925983,0.18954802259887005
59,Freddies Villas Sabang,0.6249527756360833,0.30000000000000004,0.12120277563608328,0.20375000000000001
60,Pintu Waluh Homestay,0.6228725630576055,0.1928571428571429,0.22001542020046264,0.21000000000000002
61,Mabit Hotel Syariah,0.6190582663288908,0.2142857142857143,0.17477255204317657,0.23000000000000004
62,Hotel Grand Langkawi By ZIRI,0.616650622315233,0.24642857142857147,0.15622205088666155,0.21400000000000002
63,Collection O Banda Aceh near Masjid Raya Baiturrahman formerly Hotel Mulana,0.6160095775258119,0.2142857142857143,0.19350809560524287,0.20821576763485478
64,Capital O 92096 Kuala Ulee Lheue Residence Syariah,0.6157385556582012,0.2142857142857143,0.20012336160370084,0.20132947976878612
65,RedDoorz Syariah near Pelabuhan Ulee Lheue Banda Aceh,0.6152833691302273,0.2142857142857143,0.17703932151117965,0.22395833333333334
66,Tyasha Homestay,0.615,0.07500000000000001,0.3,0.24
67,The Hawk's Nest Resort,0.6141846936153028,0.1928571428571429,0.18749421742482653,0.23383333333333334
68,Muraya Hotel Aceh ,0.6116408745456549,0.26785714285714285,0.13628373168851196,0.20750000000000002
69,The Pade Dive Resort,0.6075429651553212,0.30000000000000004,0.1281881264456438,0.17935483870967744
70,Grand Mahoni Hotel,0.604192555405476,0.16071428571428575,0.2132151117964534,0.23026315789473686
71,RedDoorz Syariah @ Harley Hotel Sabang,0.6041839148267282,0.2142857142857143,0.18786430223592906,0.20203389830508475
72,RedDoorz Syariah near Pasar Aceh Shopping Centre,0.6028844399370723,0.2892857142857143,0.1552968388589052,0.15830188679245286
73,Plum Hotel Lading Banda Aceh,0.6023569130733675,0.21428571428571427,0.18786430223592906,0.20020689655172416
74,Dancenter Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.5972312295774131,0.2142857142857143,0.17861218195836545,0.20433333333333334
75,Anoi Itam Resort,0.5971623771585222,0.1928571428571429,0.24041634541249038,0.1638888888888889
76,RedDoorz Syariah near Paradiso Beach Sabang,0.5943697165161362,0.23571428571428574,0.16006168080185046,0.19859374999999999
77,RedDoorz Syariah @ Hotel Seunia Banda Aceh,0.593866869445127,0.26785714285714285,0.17754818812644566,0.14846153846153848
78,BEU CEBEUH COTTAGE ,0.5920857656863825,0.24642857142857147,0.15113338473400154,0.19452380952380952
79,RedDoorz Syariah near RSUD Zainoel Abidin Banda Aceh,0.5915226600693062,0.23571428571428574,0.1569622205088666,0.19884615384615384
80,RedDoorz Syariah @ Jalan Gajah Mada Meulaboh,0.5859390489040643,0.2142857142857143,0.16727833461835004,0.20437500000000003
81,Dancenter Alif Guest House,0.5822399676910086,0.2142857142857143,0.1912875867386276,0.17666666666666667
82,Hotel O Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.5791806838386859,0.2142857142857143,0.17407864302235931,0.19081632653061226
83,Mars Resort ,0.5786806917061351,0.32142857142857145,0.1292521202775636,0.128
84,AFARIS Residence By Amazing,0.5766964285714286,0.42857142857142855,0.0,0.148125
85,RedDoorz Syariah near Danau Lut Tawar Takengon,0.5752003668283714,0.2892857142857143,0.14243639167309177,0.14347826086956522
86,SeaGate Bungalows,0.5745034236055264,0.1928571428571429,0.1358673862760216,0.24577889447236184
87,Hotel O Banda Aceh near Masjid Raya Baiturrahman formerly Wisma Tsacita,0.5731800260282718,0.2142857142857143,0.17879722436391673,0.18009708737864077
88,Hotel Belangi Syariah Takengon Mitra RedDoorz,0.5664489481220398,0.2892857142857143,0.11930609097918274,0.15785714285714286
89,Grand Aceh Hotel,0.5650567906608259,0.23571428571428574,0.14151117964533538,0.18783132530120483
90,Medina House Syariah Aceh,0.563857803722877,0.2892857142857143,0.13457208943716267,0.14
91,Collection O near Museum Tsunami Banda Aceh formerly Blower Residence,0.5554190990197159,0.2142857142857143,0.15113338473400154,0.19
92,RedDoorz Syariah near Balai Meuseuraya Aceh,0.5541331644454235,0.26785714285714285,0.14627602158828065,0.13999999999999999
93,Hotel O Banda Aceh near UIN formerly Alif Guest House Syariah,0.5510161782523342,0.2142857142857143,0.16084811102544336,0.17588235294117646
94,Hotel O near Terminal Batoh formerly Hotel Al Fatih,0.5452564159048354,0.2142857142857143,0.13397070161912106,0.197
95,Beu Ceubeh Cottage - Family Room,0.5423712963982819,0.1392857142857143,0.1770855821125675,0.22600000000000003
96,Capital O 854 Ub Caisar Hotel,0.5379959246613063,0.26785714285714285,0.12013878180416344,0.15
97,RedDoorz @ Wisma Nabila Syariah near Masjid Raya Baiturrahman Banda Aceh,0.5372472494523381,0.2142857142857143,0.18185042405551274,0.14111111111111113
98,Mita Mulia Hotel By Calandra,0.5282706766917293,0.32142857142857145,0.0,0.20684210526315788
99,Hotel 889 Syariah Redpartner Banda Aceh,0.5267935345302347,0.26785714285714285,0.14243639167309177,0.1165
100,Hotel Qory Syari'ah,0.5178571428571428,0.26785714285714285,0.0,0.25
101,Dancenter Hotel Al Fatih,0.5168702500275361,0.2142857142857143,0.13901310717039322,0.16357142857142856
102,Banda Aceh Batoh Homestay - private - fits up to 8 persons,0.515,0.30000000000000004,0.0,0.215
103,Ranls Dream Syari'ah Banda Aceh,0.5138154501264581,0.26785714285714285,0.1312413261372398,0.11471698113207547
104,Griya Arida Aceh,0.5091666666666668,0.30000000000000004,0.0,0.20916666666666667
105,Utama Kuta Alam Guest House,0.5090350442412894,0.18214285714285716,0.1277255204317656,0.19916666666666666
106,OYO 94787 Hotel Mulana,0.496504589978389,0.1285714285714286,0.15034695451040864,0.21758620689655173
107,Awak Awai,0.49642857142857144,0.24642857142857147,0.0,0.25
108,RedDoorz Syariah @ Panglima Nyak Makam Aceh 2,0.49229734195038743,0.2142857142857143,0.15747108712413263,0.12054054054054056
109,Diara Bungalow,0.4914464054294104,0.10714285714285715,0.19281418658442562,0.19148936170212766
110,Utama Hotel,0.4878571428571428,0.26785714285714285,0.0,0.21999999999999997
